PRICE,LAND AREA,ROAD ACCESS,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITY_PARKING,LOCATION_Kathmandu,LOCATION_Lalitpur,AMENITY_MARBEL,AMENITY_PARQUET,AMENITY_DRINKING_WATER,AMENITY_MODULAR_KITCHEN,AMENITY_GARDEN,AMENITY_DRAINAGE,AMENITY_POWER_BACKUP,AMENITY_RESERVE_TANK,AMENITY_WATER_WELL
29000000,3.2,13.0,2.5,4.0,4.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
45000000,5.0,13.0,3.0,4.0,4.0,2076,1,0,1,1,0,1,0,0,1,1,1,0
22500000,2.3,13.0,2.5,4.0,2.0,2069,1,1,0,1,0,1,0,0,1,1,1,0
26000000,3.0,14.0,2.0,5.0,5.0,2070,1,1,0,1,1,0,1,1,1,0,1,0
27000000,3.0,20.0,2.5,3.0,4.0,2070,1,0,1,1,1,1,0,0,1,1,1,0
27500000,4.1,13.0,2.5,5.0,5.0,2072,1,0,1,1,1,1,0,0,1,1,0,0
16000000,2.2,12.0,2.5,5.0,3.0,2058,0,1,0,1,1,1,1,0,0,0,1,0
47000000,7.0,14.0,2.5,6.0,3.0,2072,1,1,0,1,0,1,1,0,0,0,1,0
25000000,3.1,13.0,2.5,4.0,4.0,2069,1,0,1,1,1,1,0,0,1,1,1,0
25000000,3.2,13.0,2.5,4.0,3.0,2069,1,0,1,1,1,1,0,0,1,1,1,0
90000000,7.2,13.0,2.5,6.0,4.0,2079,1,0,1,0,1,1,0,0,1,1,1,0
23000000,4.0,12.0,3.5,9.0,3.0,2076,1,1,0,1,1,0,0,0,1,1,1,0
35000000,8.0,8.0,2.5,8.0,4.0,2073,1,1,0,1,1,1,0,1,1,1,1,0
27000000,4.0,11.0,4.5,8.0,4.0,2076,1,1,0,0,0,1,1,0,0,1,1,0
85000000,9.0,20.0,2.5,5.0,7.0,2072,1,0,1,1,1,1,0,1,1,1,1,0
70000000,5.0,20.0,2.5,5.0,4.0,2072,1,0,1,1,1,1,0,0,1,1,1,0
35000000,3.3,22.0,2.5,3.0,4.0,2072,1,0,1,1,1,1,0,1,1,1,1,0
180000000,7.3,20.0,5.0,12.0,6.0,2079,1,1,0,0,0,1,1,0,1,1,1,0
25000000,3.0,16.0,2.0,6.0,3.0,2072,1,0,1,1,1,1,0,0,1,1,1,0
45000000,3.0,13.0,2.0,9.0,4.0,2072,1,1,0,1,1,1,0,0,0,1,1,0
26000000,3.0,20.0,2.5,3.0,4.0,2076,1,1,0,1,0,1,0,0,0,1,1,0
34500000,4.0,13.0,2.5,6.0,5.0,2073,1,1,0,1,0,1,0,0,1,1,1,0
37500000,5.0,14.0,2.0,6.0,5.0,2076,1,1,0,1,1,1,0,0,1,1,1,0
65000000,8.0,13.0,2.5,6.0,3.0,2058,1,1,0,1,0,1,1,1,1,0,1,0
30000000,4.2,14.0,2.5,8.0,4.0,2058,1,1,0,1,0,1,1,0,1,0,1,0
17500000,3.0,12.0,2.5,11.0,3.0,2070,1,1,0,1,0,0,1,0,1,0,1,0
29500000,4.2,13.0,2.5,4.0,4.0,2072,1,1,0,1,0,1,0,0,1,0,1,0
43000000,6.0,13.0,3.0,6.0,4.0,2058,1,0,1,1,0,1,1,0,1,0,1,0
31000000,3.1,13.0,2.5,6.0,5.0,2076,1,0,1,1,1,1,1,0,1,1,0,0
45000000,6.3,13.0,3.0,7.0,7.0,2073,1,0,1,1,0,1,0,1,1,1,0,0
26500000,3.0,13.0,2.5,5.0,4.0,2076,1,0,1,1,1,1,0,0,1,1,0,0
29500000,3.2,13.0,2.5,5.0,4.0,2072,1,0,1,1,1,1,0,0,1,1,1,0
37500000,5.0,20.0,2.0,5.0,4.0,2072,1,1,0,1,0,1,0,0,1,1,1,0
150000000,10.0,13.0,2.5,5.0,4.0,2072,1,0,1,1,1,1,0,1,1,0,1,0
105000000,11.0,20.0,2.5,5.0,6.0,2075,1,1,0,1,1,1,0,0,1,1,1,0
25500000,3.0,13.0,2.5,4.0,4.0,2058,1,0,1,1,1,1,1,0,1,1,1,0
22500000,2.3,20.0,2.5,5.0,3.0,2068,1,0,1,0,1,1,0,0,0,1,1,0
105000000,12.0,20.0,2.5,6.0,5.0,2058,1,0,1,1,1,1,1,0,1,1,0,0
28500000,3.0,13.0,2.5,9.0,4.0,2072,1,0,1,1,1,1,1,0,0,1,0,0
125000000,10.0,20.0,2.5,4.0,4.0,2058,1,1,0,0,0,1,0,1,1,1,0,0
60000000,6.0,13.0,2.5,8.0,5.0,2068,1,1,0,0,0,1,1,0,1,1,0,0
