TITLE,LOCATION,PRICE,LAND AREA,BUILDUP AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES
4 BHK House for Sale,"Baneshwor, Kathmandu",Rs. 4 Cr,5.0 aana,,13 Feet,South,2.5,4.0,4.0,2077 B.S,,"['Earthquake Resistant', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']"
House for Sale,"Tokha, Kathmandu",Rs. 3.5 Cr ,6 aana,,15 Feet,North,2.5,3.0,3.0,2075 B.S,3 Bikes,"['Bed Room', 'Dining Room', 'Living Room', 'Bathroom', 'Fire Place', 'Terrace', 'Reserve Tank', 'Balcony', 'Drinking Water', 'Drainage', 'Parquet']"
 House for Sale,"Imadol, Lalitpur",Rs. 3.15 Cr ,5.2 aana,,20 Feet,East,2.0,6.0,5.0,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Store Room', 'Prayer Room']"
 House for Sale,"Ochu Height, Lalitpur",Rs. 2.9 Cr ,3.2 aana,2700 Sq. Ft.,13 Feet,South,2.5,6.0,6.0,2077 B.S,1 CaRs.  & 2 Bikes,"['Drainage', 'Parking', 'Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room']"
 House for Sale,"Imadol, Lalitpur",Rs. 4.25 Cr ,4.2 aana,,20 Feet,East,3.0,5.0,4.0,2078 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parking', 'Drinking Water', 'Modular Kitchen', 'Internet', 'Dining Room', 'Bed Room', 'Bathroom', 'Store Room', 'Prayer Room']"
4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4.65 Cr ,4.0 aana,,12 Feet,South-East,2.0,4.0,4.0,2074 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Drainage', 'Drinking Water', 'Parking', 'Parquet', 'Modular Kitchen', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room']"
Luxurious Villa  for Sale,"Bhaisepati, Lalitpur",Rs. 4 Cr,4.0 aana,,20 Feet,,2.5,5.0,4.0,2080 B.S,2 CaRs.  & 1 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Kitchen']"
Bungalow House for Sale,"Sanepa, Lalitpur",Rs. 5.95 Cr ,5.0 aana,2299 Sq. Ft.,16 Feet,North-East,3.0,6.0,5.0,2078 B.S,2 CaRs.  & 1 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'Modular Kitchen', 'Dining Room', 'Bed Room']"
4 BHK House for Sale,"Nakkhu, Lalitpur",Rs. 3.9 Cr ,5.0 aana,,13 Feet,East,2.5,4.0,4.0,2078 B.S,2 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Prayer Room', 'Master Bedroom']"
 House for Sale,"Setipakha, Lalitpur",Rs. 3.2 Cr ,4.0 aana,0 Sq. Ft.,13 Feet,East,3.0,8.0,3.0,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Garden', 'Parking', 'Balcony', 'Reserve Tank', 'Water Well', 'Terrace', 'Basement', 'Sofa', 'Water Purifier']"
